"REGION","GROSS_PRICE","YEAR","APARTMENT_AREA_PERSQM","LAND_PRICE_PERSQM","BUILDING_PRICE_PERSQM","_DLT_LOAD_ID","_DLT_ID"
"0","1","2002",189,7598,83.6,"1734655972.5864832","Fc8Qh8p+SG6+xg"
"0","1","2012",243,12577,75.7,"1734655972.5864832","36le2bxmRrVGUw"
"0","1","2022",345,25208,60.2,"1734655972.5864832","qwz9xCqQMI7v+w"
"0","2","2002",189,7598,83.6,"1734655972.5864832","Ox/0sz1icBLloQ"
"0","2","2012",243,12577,75.7,"1734655972.5864832","ek8qesf4kjiDSg"
"0","2","2022",345,25208,60.2,"1734655972.5864832","xQJhWRCvqZh2VA"
"10","1","2002",58,3117,86.6,"1734655972.5864832","qeMRPfs9WydGfw"
"10","1","2012",80,5376,77.1,"1734655972.5864832","czRRTlYH3a8Luw"
"10","1","2022",64,7165,60.3,"1734655972.5864832","3iL8E4uzgJ75OQ"
"10","2","2002",58,3117,86.6,"1734655972.5864832","dFEtBcen6TTG8A"
"10","2","2012",80,5376,77.1,"1734655972.5864832","CZTQr+sScVaSwA"
"10","2","2022",64,7165,60.3,"1734655972.5864832","dX+NFxbuBSq+qg"
"0","1","2002",189,7598,83.6,"1734656302.3281178","0bgOXn63GNGwig"
"0","1","2012",243,12577,75.7,"1734656302.3281178","IHJtvTAXXpEytg"
"0","1","2022",345,25208,60.2,"1734656302.3281178","XuoH++BLR4Wd3A"
"0","2","2002",189,7598,83.6,"1734656302.3281178","ki74ab9ko2X3Dw"
"0","2","2012",243,12577,75.7,"1734656302.3281178","e3/glSFL+V5HgA"
"0","2","2022",345,25208,60.2,"1734656302.3281178","me58l22A3v5SBQ"
"10","1","2002",58,3117,86.6,"1734656302.3281178","kHXGDkSxOe1wgA"
"10","1","2012",80,5376,77.1,"1734656302.3281178","K0tf4ORPGuiV6g"
"10","1","2022",64,7165,60.3,"1734656302.3281178","cI7GhJYTn82L/w"
"10","2","2002",58,3117,86.6,"1734656302.3281178","s/EYCKVb37M00A"
"10","2","2012",80,5376,77.1,"1734656302.3281178","kTIWb87oB0iPPQ"
"10","2","2022",64,7165,60.3,"1734656302.3281178","Qxd99cklKKKF6w"
"0","1","2002",189,7598,83.6,"1734722539.3254886","ddHAsnUicuqEQQ"
"0","1","2012",243,12577,75.7,"1734722539.3254886","kNFN4Yh9aGVjLw"
"0","1","2022",345,25208,60.2,"1734722539.3254886","aRFQS0QHQVnauQ"
"0","2","2002",189,7598,83.6,"1734722539.3254886","4TK1CFmTKUN0Dg"
"0","2","2012",243,12577,75.7,"1734722539.3254886","exTnDvIo/VWkEA"
"0","2","2022",345,25208,60.2,"1734722539.3254886","QRumg7rZe+Hn1w"
"10","1","2002",58,3117,86.6,"1734722539.3254886","ci0xGJfR84Bivw"
"10","1","2012",80,5376,77.1,"1734722539.3254886","BGLiSoQkyCJXow"
"10","1","2022",64,7165,60.3,"1734722539.3254886","4F7BHFw8oMW0eg"
"10","2","2002",58,3117,86.6,"1734722539.3254886","PjGFNFxffeCJiA"
"10","2","2012",80,5376,77.1,"1734722539.3254886","Cxvg5+zZ8Zbbjw"
"10","2","2022",64,7165,60.3,"1734722539.3254886","FnI76K+ebwfW9w"
