key,values
"['00', '1', '2002']","['189', '7598', '83.6', '3700', '19774', '23474']"
"['00', '1', '2012']","['243', '12577', '75.7', '7793', '28623', '36416']"
"['00', '1', '2022']","['345', '25208', '60.2', '8828', '34596', '43425']"
"['00', '2', '2002']","['189', '7598', '83.6', '3691', '19314', '23005']"
"['00', '2', '2012']","['243', '12577', '75.7', '7793', '28619', '36412']"
"['00', '2', '2022']","['345', '25208', '60.2', '8828', '33819', '42648']"
"['0010', '1', '2002']","['58', '3117', '86.6', '5693', '23664', '29357']"
"['0010', '1', '2012']","['80', '5376', '77.1', '10857', '31622', '42479']"
"['0010', '1', '2022']","['64', '7165', '60.3', '13763', '38717', '52481']"
"['0010', '2', '2002']","['58', '3117', '86.6', '5689', '23408', '29097']"
"['0010', '2', '2012']","['80', '5376', '77.1', '10857', '31617', '42474']"
"['0010', '2', '2022']","['64', '7165', '60.3', '13763', '38431', '52194']"
"['0020', '1', '2002']","['21', '1201', '77.9', '2783', '20583', '23366']"
"['0020', '1', '2012']","['32', '1713', '72.8', '8334', '28537', '36871']"
"['0020', '1', '2022']","['41', '3893', '59.8', '9894', '33804', '43698']"
"['0020', '2', '2002']","['21', '1201', '77.9', '2774', '19890', '22664']"
"['0020', '2', '2012']","['32', '1713', '72.8', '8334', '28530', '36864']"
"['0020', '2', '2022']","['41', '3893', '59.8', '9894', '33804', '43698']"
"['0030', '1', '2002']","['16', '364', '91.4', '3226', '19291', '22518']"
"['0030', '1', '2012']","['21', '1082', '76.2', '5637', '26581', '32218']"
"['0030', '1', '2022']","['34', '2230', '62.3', '8084', '35396', '43480']"
"['0030', '2', '2002']","['16', '364', '91.4', '3194', '18639', '21833']"
"['0030', '2', '2012']","['21', '1082', '76.2', '5637', '26581', '32218']"
"['0030', '2', '2022']","['34', '2230', '62.3', '8084', '33994', '42078']"
